timestamp,event_type,detail,text
2026-05-08T23:19:10.181690+00:00,led_color,sample=2250,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.188286+00:00,led_color,sample=2260,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.198324+00:00,led_color,sample=2270,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.205664+00:00,led_color,sample=2280,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.211853+00:00,led_color,sample=2290,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.239570+00:00,led_color,sample=2300,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.246207+00:00,led_color,sample=2310,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.256611+00:00,led_color,sample=2320,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.262857+00:00,led_color,sample=2330,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.269348+00:00,led_color,sample=2340,"r=0.000,g=0.000,b=1.000,a=1.000"
2026-05-08T23:19:10.281126+00:00,led_color,sample=2350,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.287492+00:00,led_color,sample=2360,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.297127+00:00,led_color,sample=2370,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.303112+00:00,led_color,sample=2380,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.315185+00:00,led_color,sample=2390,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.326987+00:00,led_color,sample=2400,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.333178+00:00,led_color,sample=2410,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.340947+00:00,led_color,sample=2420,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.347442+00:00,led_color,sample=2430,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.359035+00:00,led_color,sample=2440,"r=1.000,g=1.000,b=0.000,a=1.000"
2026-05-08T23:19:10.365308+00:00,led_color,sample=2450,"r=1.000,g=1.000,b=0.000,a=1.000"
